Name,Feature,Full Address,Street,Municipality,Categories,,Phones,,Review Count,Average Rating,Review URL,Google Maps URL,Cid,Google Knowledge URL,,Latitude,Longitude,Website,Domain,Opening Hours
Juannita's,Homey Mexican place with an outdoor deck,"620 W Kirkwood Ave, Bloomington, IN 47404",620 W Kirkwood Ave,Bloomington,"Mexican restaurant, Bar, Club, Sports bar",,"(812) 339-2340, +1 812-339-2340",,718,4,https://search.google.com/local/reviews?placeid=ChIJVVVoDSBnbIgRvHC11cM2MSA&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=2319695497804476604,2.3197E+18,https://www.google.com/search?kgmid=/g/1pp2x71bg&kponly,,39.1668263,-86.5406788,http://juannitas.com/,juannitas.com,"Sunday:[11AM-10AM], Monday:[11AM-10PM], Tuesday:[11AM-2AM], Wednesday:[11AM-2AM], Thursday:[11AM-2AM], Friday:[11AM-2AM], Saturday:[11AM-2AM]"
Big Woods Bloomington,Low-key brewpub with local drafts,"116 N Grant St, Bloomington, IN 47408",116 N Grant St,Bloomington,"Restaurant, Brewpub, Event venue",,"(812) 335-1821, +1 812-335-1821",,944,4.4,https://search.google.com/local/reviews?placeid=ChIJf5M1zsJmbIgRphHUKaDEUZA&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=10399309206750761382,1.03993E+19,https://www.google.com/search?kgmid=/g/11bbrhm7ng&kponly,,39.1671135,-86.5296072,http://www.bigwoodsrestaurants.com/,bigwoodsrestaurants.com,"Monday:[11AM-10PM], Tuesday:[11AM-10PM], Wednesday:[11AM-10PM], Thursday:[11AM-10PM], Friday:[11AM-11PM], Saturday:[11AM-11PM], Sunday:[11AM-10PM]"
FARMbloomington,Offbeat farm-to-table destination,"108 E Kirkwood Ave, Bloomington, IN 47408",108 E Kirkwood Ave,Bloomington,"American restaurant, Restaurant",,"(812) 323-0002, +1 812-323-0002",,934,4.3,https://search.google.com/local/reviews?placeid=ChIJAc9Llt1mbIgRcQ2fikD2pBE&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=1271411751889341809,1.27141E+18,https://www.google.com/search?kgmid=/g/1thgc5zx&kponly,,39.1662728,-86.5330876,http://www.farm-bloomington.com/,farm-bloomington.com,"Monday:[Closed], Tuesday:[5-9PM], Wednesday:[5-9PM], Thursday:[5-9PM], Friday:[9AM-3PM], Saturday:[9AM-3PM], Sunday:[9AM-3PM]"
Malibu Grill,"Classy, casual American destination","106 N Walnut St, Bloomington, IN 47404",106 N Walnut St,Bloomington,"American restaurant, Grill, Bar & grill, Cocktail bar, Live music bar, Lounge, Restaurant, Seafood restaurant, Steak house, Wine bar",,"(812) 332-4334, +1 812-332-4334",,819,4.2,https://search.google.com/local/reviews?placeid=ChIJLb8tvN1mbIgRDDA1Ok9x6O8&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=17287191754754568204,1.72872E+19,https://www.google.com/search?kgmid=/g/1thr7xv4&kponly,,39.166858,-86.533224,http://www.malibugrill.net/,malibugrill.net,"Monday:[11:30AM-2PM], Tuesday:[11:30AM-2PM], Wednesday:[11:30AM-2PM], Thursday:[11:30AM-2PM], Friday:[11:30AM-2PM], Saturday:[12-10PM], Sunday:[12-9PM]"
Chubbies Diner,,"118 E Kirkwood Ave, Bloomington, IN 47408",118 E Kirkwood Ave,Bloomington,Burrito restaurant,,"(812) 650-3520, +1 812-650-3520",,21,4.2,https://search.google.com/local/reviews?placeid=ChIJEwoChXlnbIgRMMHAZKZBTLw&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=13568291960271192368,1.35683E+19,https://www.google.com/search?kgmid=/g/11q4g_dn3j&kponly,,39.1662875,-86.5327687,http://chubbiesdiner.com/,chubbiesdiner.com,"Monday:[11AM-10PM], Tuesday:[11AM-10PM], Wednesday:[11AM-10PM], Thursday:[11AM-10PM], Friday:[11AM-3AM], Saturday:[11AM-3AM], Sunday:[11AM-10PM]"
The Irish Lion Restaurant & Pub,Lively old-world tavern in historic digs,"212 W Kirkwood Ave, Bloomington, IN 47404",212 W Kirkwood Ave,Bloomington,"Irish restaurant, Banquet hall, Bar, Event venue, Pub, Restaurant",,"(812) 336-9076, +1 812-336-9076",,1544,4.5,https://search.google.com/local/reviews?placeid=ChIJ6cabCt5mbIgRFu453GHgk54&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=11426723390480313878,1.14267E+19,https://www.google.com/search?kgmid=/g/1tm1r69n&kponly,,39.1667208,-86.5355789,http://www.irishlion.com/,irishlion.com,"Monday:[Closed], Tuesday:[11AM-10PM], Wednesday:[11AM-10PM], Thursday:[11AM-11PM], Friday:[11AM-12AM], Saturday:[11AM-12AM], Sunday:[11AM-10PM]"
Uptown Cafe,All-day mainstay for Cajun-American eats,"102 E Kirkwood Ave, Bloomington, IN 47408",102 E Kirkwood Ave,Bloomington,"New American restaurant, Brunch restaurant, Cajun restaurant, Cocktail bar, Creole restaurant, Fine dining restaurant",,"(812) 339-0900, +1 812-339-0900",,1417,4.6,https://search.google.com/local/reviews?placeid=ChIJNWVglt1mbIgRtb03BL_7m60&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=12509869187779771829,1.25099E+19,https://www.google.com/search?kgmid=/g/1tfg3vc0&kponly,,39.1663609,-86.5332033,http://the-uptown.com/,the-uptown.com,"Monday:[8AM-9PM], Tuesday:[8AM-9PM], Wednesday:[8AM-9PM], Thursday:[8AM-9PM], Friday:[8AM-10PM], Saturday:[9AM-2PM], Sunday:[9AM-2PM]"
SmokeWorks,,"121 N College Ave, Bloomington, IN 47404",121 N College Ave,Bloomington,Restaurant,,"(812) 287-8190, +1 812-287-8190",,392,4.2,https://search.google.com/local/reviews?placeid=ChIJO6cRoc1nbIgRk4HiGozPphk&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=1848392897735590291,1.84839E+18,https://www.google.com/search?kgmid=/g/11gy3jp9bs&kponly,,39.1673296,-86.535047,http://www.thesmokeworks.com/,thesmokeworks.com,"Monday:[10AM-10PM], Tuesday:[10AM-10PM], Wednesday:[10AM-10PM], Thursday:[10AM-10PM], Friday:[10AM-10PM], Saturday:[10AM-12AM], Sunday:[10AM-12AM]"
Dats,Mellow Cajun & Creole counter-serve,"408 E 4th St, Bloomington, IN 47408",408 E 4th St,Bloomington,"Cajun restaurant, Creole restaurant, Restaurant",,"(812) 339-3090, +1 812-339-3090",,292,4.1,https://search.google.com/local/reviews?placeid=ChIJ8TnCAehmbIgR8d8w01fXWLQ&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=12995373496982888433,1.29954E+19,https://www.google.com/search?kgmid=/g/1wrtdls9&kponly,,39.1653297,-86.529284,http://www.datsongrantstreet.com/,datsongrantstreet.com,"Monday:[11AM-9PM], Tuesday:[11AM-9PM], Wednesday:[11AM-9PM], Thursday:[11AM-9PM], Friday:[11AM-10PM], Saturday:[11AM-10PM], Sunday:[11AM-9PM]"
Crazy Horse,Restaurant & bar in a historic hotel,"214 W Kirkwood Ave, Bloomington, IN 47404",214 W Kirkwood Ave,Bloomington,"Restaurant, American restaurant, Banquet hall, Bar & grill",,"(812) 336-8877, +1 812-336-8877",,591,4.3,https://search.google.com/local/reviews?placeid=ChIJP0KRCt5mbIgRtvuN4ZtPrHs&q=restaurants&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=8911585293582072758,8.91159E+18,https://www.google.com/search?kgmid=/g/1tgzc2fs&kponly,,39.1668794,-86.5356995,http://crazyhorseindiana.com/,crazyhorseindiana.com,"Monday:[11AM-12AM], Tuesday:[11AM-12AM], Wednesday:[11AM-12AM], Thursday:[11AM-1AM], Friday:[11AM-1AM], Saturday:[11AM-1AM], Sunday:[11AM-12AM]"
